16.799999,0.000367,0.000000
16.799999,0.000367,0.000001
16.799999,0.000367,0.000001
16.799995,0.000365,0.000001
16.799995,0.000365,0.000001
16.799995,0.000367,0.000002
16.799995,0.000365,0.000002
16.799995,0.000367,0.000002
16.799995,0.000367,0.000002
16.799992,0.000365,0.000003
16.799992,0.000365,0.000003
16.799992,0.000367,0.000003
16.799992,0.000367,0.000003
16.799992,0.000365,0.000004
16.799992,0.000367,0.000004
16.799992,0.000367,0.000004
16.799992,0.000367,0.000005
16.799992,0.000367,0.000005
16.799992,0.000367,0.000005
16.799992,0.000367,0.000005
16.799992,0.000367,0.000006
16.799992,0.000367,0.000006
16.799988,0.000365,0.000006
16.799988,0.000365,0.000006
16.799988,0.000367,0.000007
16.799988,0.000367,0.000007
16.799988,0.000365,0.000007
16.799988,0.000365,0.000007
16.799984,0.000367,0.000008
16.799984,0.000367,0.000008
16.799984,0.000365,0.000008
16.799984,0.000365,0.000008
16.799984,0.000365,0.000009
16.799984,0.000367,0.000009
16.799984,0.000367,0.000009
16.799984,0.000367,0.000010
16.799984,0.000365,0.000010
16.799984,0.000365,0.000010
16.799984,0.000367,0.000011
16.799980,0.000367,0.000011
16.799980,0.000365,0.000011
16.799980,0.000365,0.000011
16.799980,0.000365,0.000012
16.799980,0.000365,0.000012
16.799980,0.000367,0.000012
16.799976,0.000365,0.000013
16.799976,0.000367,0.000013
16.799976,0.000367,0.000013
16.799976,0.000367,0.000013
16.799976,0.000365,0.000014
16.799976,0.000365,0.000014
16.799976,0.000365,0.000014
16.799976,0.000367,0.000015
16.799976,0.000367,0.000015
16.799973,0.000365,0.000015
16.799973,0.000365,0.000016
16.799973,0.000367,0.000016
16.799973,0.000365,0.000016
16.799973,0.000367,0.000016
16.799973,0.000365,0.000017
16.799973,0.000367,0.000017
16.799973,0.000365,0.000017
16.799969,0.000365,0.000018
16.799969,0.000365,0.000018
16.799969,0.000365,0.000018
16.799969,0.000365,0.000018
16.799969,0.000365,0.000019
16.799969,0.000365,0.000019
16.799969,0.000365,0.000019
16.799965,0.000367,0.000020
16.799965,0.000365,0.000020
16.799965,0.000365,0.000020
16.799965,0.000367,0.000020
16.799965,0.000365,0.000021
16.799965,0.000367,0.000021
16.799965,0.000367,0.000021
16.799965,0.000365,0.000022
16.799965,0.000367,0.000022
16.799965,0.000367,0.000022
16.799965,0.000367,0.000022
16.799965,0.000365,0.000022
16.799965,0.000367,0.000023
16.799961,0.000367,0.000023
16.799961,0.000367,0.000023
16.799961,0.000365,0.000023
16.799961,0.000367,0.000024
16.799961,0.000367,0.000024
16.799961,0.000367,0.000024
16.799961,0.000365,0.000024
16.799957,0.000367,0.000025
16.799957,0.000365,0.000025
16.799957,0.000367,0.000025
16.799957,0.000367,0.000026
16.799957,0.000367,0.000026
16.799957,0.000367,0.000026
16.799957,0.000367,0.000027
16.799957,0.000367,0.000027
16.799957,0.000367,0.000027
16.799957,0.000367,0.000027
16.799957,0.000392,0.000028
16.799957,0.000409,0.000028
16.799953,0.000417,0.000028
16.799953,0.000437,0.000029
16.799953,0.000437,0.000029
16.799953,0.000456,0.000029
16.799953,0.000465,0.000030
16.799950,0.000477,0.000030
16.799950,0.000490,0.000031
16.799950,0.000511,0.000031
16.799950,0.000524,0.000031
16.799950,0.000538,0.000032
16.799950,0.000550,0.000032
16.799946,0.000564,0.000033
16.799946,0.000579,0.000033
16.799946,0.000595,0.000034
16.799946,0.000610,0.000034
16.799946,0.000640,0.000035
16.799946,0.000640,0.000035
16.799942,0.000658,0.000035
16.799942,0.000694,0.000036
16.799942,0.000714,0.000037
16.799942,0.000714,0.000037
16.799938,0.000752,0.000037
16.799938,0.000769,0.000038
16.799938,0.000791,0.000038
16.799938,0.000791,0.000039
16.799936,0.000839,0.000039
16.799936,0.000863,0.000040
16.799934,0.000909,0.000041
16.799932,0.000909,0.000041
16.799932,0.000937,0.000042
16.799931,0.000989,0.000043
16.799931,0.001019,0.000043
16.799929,0.001019,0.000044
16.799929,0.001049,0.000045
16.799925,0.001109,0.000046
16.799925,0.001145,0.000047
16.799923,0.001139,0.000048
16.799923,0.001206,0.000049
16.799919,0.001241,0.000050
16.799919,0.001279,0.000051
16.799915,0.001315,0.000052
16.799915,0.001352,0.000053
16.799915,0.001430,0.000054
16.799911,0.001430,0.000055
16.799911,0.001475,0.000056
16.799908,0.001553,0.000057
16.799908,0.001580,0.000058
16.799904,0.001580,0.000059
16.799904,0.001636,0.000060
16.799900,0.001671,0.000062
16.799896,0.001708,0.000063
16.799896,0.001737,0.000064
16.799896,0.001766,0.000066
16.799891,0.001842,0.000067
16.799889,0.001842,0.000069
16.799887,0.001872,0.000070
16.799883,0.001946,0.000072
16.799881,0.001985,0.000073
16.799879,0.002059,0.000075
