t,x,y,z,yaw
1.850994038581848145e+01,-1.438944227993488312e-02,-4.058894634246826172e+00,1.341953575611114502e-01,-1.334194552082234881e-03
1.851793861389160156e+01,-1.438944227993488312e-02,-4.058894634246826172e+00,1.341953575611114502e-01,-1.334194552082234881e-03
1.852791595458984375e+01,-1.438944227993488312e-02,-4.058894634246826172e+00,1.341953575611114502e-01,-1.334194552082234881e-03
1.853763222694396973e+01,-1.438944227993488312e-02,-4.058894634246826172e+00,1.341953575611114502e-01,-1.334194552082234881e-03
1.855093860626220703e+01,-1.438944227993488312e-02,-4.058894634246826172e+00,1.341953575611114502e-01,-1.334194552082234881e-03
1.855821943283081055e+01,-1.438944227993488312e-02,-4.058894634246826172e+00,1.341953575611114502e-01,-1.334194552082234881e-03
1.856901836395263672e+01,-1.438944227993488312e-02,-4.058894634246826172e+00,1.341953575611114502e-01,-1.334194552082234881e-03
1.858076930046081543e+01,-1.434237509965896606e-02,-4.059060096740722656e+00,1.341594606637954712e-01,-1.432213964508012843e-03
1.858903789520263672e+01,-1.434237509965896606e-02,-4.059060096740722656e+00,1.341594606637954712e-01,-1.432213964508012843e-03
1.859879660606384277e+01,-1.434237509965896606e-02,-4.059060096740722656e+00,1.341594606637954712e-01,-1.432213964508012843e-03
1.860951733589172363e+01,-1.434237509965896606e-02,-4.059060096740722656e+00,1.341594606637954712e-01,-1.432213964508012843e-03
1.862149834632873535e+01,-1.434237509965896606e-02,-4.059060096740722656e+00,1.341594606637954712e-01,-1.432213964508012843e-03
1.863005352020263672e+01,-1.434237509965896606e-02,-4.059060096740722656e+00,1.341594606637954712e-01,-1.432213964508012843e-03
1.863889312744140625e+01,-1.434237509965896606e-02,-4.059060096740722656e+00,1.341594606637954712e-01,-1.432213964508012843e-03
1.864931774139404297e+01,-1.434237509965896606e-02,-4.059060096740722656e+00,1.341594606637954712e-01,-1.432213964508012843e-03
1.865800166130065918e+01,-1.434237509965896606e-02,-4.059060096740722656e+00,1.341594606637954712e-01,-1.432213964508012843e-03
1.866749024391174316e+01,-1.434237509965896606e-02,-4.059060096740722656e+00,1.341594606637954712e-01,-1.432213964508012843e-03
1.867797160148620605e+01,-1.434237509965896606e-02,-4.059060096740722656e+00,1.341594606637954712e-01,-1.432213964508012843e-03
1.868710374832153320e+01,-1.438781619071960449e-02,-4.058796405792236328e+00,1.343435794115066528e-01,-1.084712273921728878e-02
1.869730663299560547e+01,-1.438781619071960449e-02,-4.058796405792236328e+00,1.343435794115066528e-01,-1.084712273921728878e-02
1.870865011215209961e+01,-1.438781619071960449e-02,-4.058796405792236328e+00,1.343435794115066528e-01,-1.084712273921728878e-02
