experiment,mission_duration_s,objective_time_s,covered_area_percent,hidden_found_percent,crash_percent,crashed_uavs,total_uavs,hidden_found_uavs,hidden_total_uavs
exp 1,96.741,80.934,90.54188779012584,66.66666666666666,0.0,0.0,3.0,2.0,3.0
exp 2,109.2635,80.934,90.64281087524952,66.66666666666666,0.0,0.0,3.0,2.0,3.0
exp 3,114.3185,80.934,90.1221075911473,66.66666666666666,0.0,0.0,3.0,2.0,3.0
exp 4,116.96000000000001,80.934,92.69085563557748,66.66666666666666,0.0,0.0,3.0,2.0,3.0
exp 5,109.0355,80.934,90.15786518119823,66.66666666666666,0.0,0.0,3.0,2.0,3.0
exp 6,116.604,76.537,98.20379709874513,100.0,0.0,0.0,3.0,3.0,3.0
MEAN,110.48708333333333,80.20116666666667,92.05988736200726,72.22222222222221,0.0,,,,
VARIANCE,47.75902178472225,2.6852234722222117,8.305142516938664,154.3209876543211,0.0,,,,
STD,6.910790243143127,1.6386651495110927,2.8818644168209344,12.422599874998836,0.0,,,,
