experiment,mission_duration_s,objective_time_s,covered_area_percent,hidden_found_percent,crash_percent,crashed_uavs,total_uavs,hidden_found_uavs,hidden_total_uavs
exp 1,114.18299999999999,76.857,93.64772722749007,66.66666666666666,0.0,0.0,3.0,2.0,3.0
exp 2,115.73066666666666,77.098,94.52494507614593,66.66666666666666,0.0,0.0,3.0,2.0,3.0
exp 3,121.39866666666666,81.096,94.00055272566846,66.66666666666666,0.0,0.0,3.0,2.0,3.0
exp 4,109.31933333333335,66.826,92.88605697338602,66.66666666666666,0.0,0.0,3.0,2.0,3.0
exp 5,129.648,81.472,95.32268959459694,66.66666666666666,0.0,0.0,3.0,2.0,3.0
exp 6,98.29366666666665,64.281,92.84636120119596,66.66666666666666,0.0,0.0,3.0,2.0,3.0
MEAN,114.76222222222223,74.60499999999999,93.87138879974721,66.66666666666664,0.0,,,,
VARIANCE,94.62341991358026,44.61218999999999,0.7702796680079255,2.0194839173657902e-28,0.0,,,,
STD,9.72745701165419,6.679235734722948,0.8776557799091427,1.4210854715202004e-14,0.0,,,,
