-0.0047995694913,-0.00480503123254,-0.00480502471328,-0.00481049297377,-0.0047995694913,-0.00481049297377,-0.00480487709865,-0.00479746051133,-0.00481260707602,-0.0048051783815,-0.00479746377096,-0.00480487430468,-0.00480518164113,-0.00481260381639,
-0.00479966169223,-0.00480512296781,-0.00480511598289,-0.00481058331206,-0.00479966169223,-0.00481058331206,-0.00480496883392,-0.00479755317792,-0.00481269741431,-0.00480527011678,-0.00479755690321,-0.00480496557429,-0.00480527337641,-0.00481269415468,
-0.00479969428852,-0.00480515416712,-0.00480514764786,-0.00481061451137,-0.00479969428852,-0.00481061451137,-0.00480500049889,-0.00479758577421,-0.00481272861362,-0.00480530131608,-0.00479758903384,-0.00480499723926,-0.00480530457571,-0.00481272535399,
-0.00479978742078,-0.00480524683371,-0.00480523984879,-0.00481070578098,-0.00479978742078,-0.00481070578098,-0.00480509316549,-0.00479767937213,-0.00481281941757,-0.00480539398268,-0.00479768309742,-0.0048050894402,-0.00480539770797,-0.00481281615794,
-0.00479988986626,-0.00480534834787,-0.00480534182861,-0.00481080682948,-0.00479988986626,-0.00481080682948,-0.00480519467965,-0.00479778228328,-0.00481291953474,-0.0048054959625,-0.00479778554291,-0.00480519095436,-0.00480549922213,-0.00481291627511,
-0.00479994062334,-0.00480539817363,-0.00480539165437,-0.00481085618958,-0.00479994062334,-0.00481085618958,-0.00480524403974,-0.00479783304036,-0.00481296889484,-0.00480554578826,-0.00479783629999,-0.00480524078012,-0.00480554904789,-0.00481296563521,
-0.00479998998344,-0.00480544799939,-0.00480544101447,-0.00481090508401,-0.00479998998344,-0.00481090508401,-0.00480529339984,-0.00479788333178,-0.00481301778927,-0.00480559514835,-0.0047978865914,-0.00480529014021,-0.00480559887365,-0.00481301406398,
-0.00479998998344,-0.00480544799939,-0.00480544101447,-0.00481090508401,-0.00479998998344,-0.00481090508401,-0.00480529339984,-0.00479788333178,-0.00481301778927,-0.00480559514835,-0.0047978865914,-0.00480529014021,-0.00480559887365,-0.00481301406398,
-0.00480019114912,-0.00480564683676,-0.0048056403175,-0.0048111025244,-0.00480019114912,-0.0048111025244,-0.00480549223721,-0.00479808542877,-0.00481321383268,-0.00480579538271,-0.0047980886884,-0.00480548851192,-0.00480579864234,-0.00481321057305,
-0.00480024283752,-0.00480569852516,-0.0048056920059,-0.00481115374714,-0.00480024283752,-0.00481115374714,-0.00480554299429,-0.0047981380485,-0.00481326458976,-0.00480584707111,-0.00479814084247,-0.00480554020032,-0.00480585033074,-0.00481326133013,
-0.00480029871687,-0.00480575393885,-0.0048057474196,-0.00481120916083,-0.00480029871687,-0.00481120916083,-0.00480559840798,-0.00479819439352,-0.00481331907213,-0.00480590295047,-0.00479819718748,-0.00480559561402,-0.00480590621009,-0.00481331627816,
-0.0048004090786,-0.00480586290359,-0.00480585731566,-0.00481131765991,-0.0048004090786,-0.00481131765991,-0.00480570783839,-0.0047983052209,-0.00481342710555,-0.00480601284653,-0.00479830801487,-0.00480570457876,-0.0048060156405,-0.00481342431158,
-0.00480046309531,-0.0048059169203,-0.00480591133237,-0.00481137121096,-0.00480046309531,-0.00481137121096,-0.00480576138943,-0.00479836016893,-0.00481348019093,-0.0048060673289,-0.0047983629629,-0.00480575859547,-0.00480606965721,-0.0048134769313,
-0.00480051944032,-0.00480597279966,-0.00480596721172,-0.00481142662466,-0.00480051944032,-0.00481142662466,-0.00480581680313,-0.00479841651395,-0.00481353513896,-0.00480612367392,-0.00479841977358,-0.00480581447482,-0.00480612600222,-0.00481353281066,
-0.00480057671666,-0.00480602914467,-0.00480602355674,-0.00481148250401,-0.00480057671666,-0.00481148250401,-0.00480587314814,-0.00479847379029,-0.00481359055266,-0.00480618001893,-0.00479847658426,-0.00480587035418,-0.0048061828129,-0.00481358822435,
-0.00480074388906,-0.00480619492009,-0.00480619026348,-0.00481164781377,-0.00480074388906,-0.00481164781377,-0.0048060384579,-0.00479864282534,-0.00481375446543,-0.00480634719133,-0.00479864515364,-0.00480603612959,-0.00480634905398,-0.00481375213712,
-0.0048007988371,-0.00480624986812,-0.00480624474585,-0.00481170229614,-0.0048007988371,-0.00481170229614,-0.00480609294027,-0.00479869777337,-0.00481380848214,-0.0048064016737,-0.00479870056733,-0.00480609061196,-0.00480640400201,-0.00481380615383,
-0.00480085331947,-0.00480630388483,-0.00480629922822,-0.00481175584719,-0.00480085331947,-0.00481175584719,-0.00480614649132,-0.00479875318706,-0.00481386156753,-0.00480645615608,-0.00479875504971,-0.00480614416301,-0.00480645848438,-0.00481385923922,
-0.00480095855892,-0.00480640819296,-0.00480640400201,-0.00481185968965,-0.00480095855892,-0.00481185968965,-0.00480625033379,-0.00479885889217,-0.00481396494433,-0.00480656139553,-0.00479886122048,-0.00480624847114,-0.00480656325817,-0.00481396261603,
-0.00480099441484,-0.00480644311756,-0.00480643939227,-0.00481189507991,-0.00480099441484,-0.00481189507991,-0.00480628572404,-0.00479889567941,-0.00481399986893,-0.00480659725145,-0.00479889754206,-0.0048062838614,-0.00480659911409,-0.00481399800628,
-0.00480109499767,-0.00480654323474,-0.00480653997511,-0.00481199426576,-0.00480109499767,-0.00481199426576,-0.00480638537556,-0.00479899672791,-0.00481409812346,-0.00480669783428,-0.00479899859056,-0.00480638351291,-0.00480669969693,-0.00481409672648,
