t,x,y,z,yaw
1.034113240242004395e+01,2.160949707031250000e+00,-9.607748389244079590e-01,1.059080362319946289e-01,-2.901582043084802859e-02
1.035063409805297852e+01,2.160949707031250000e+00,-9.607748389244079590e-01,1.059080362319946289e-01,-2.901582043084802859e-02
1.036414051055908203e+01,2.160949707031250000e+00,-9.607748389244079590e-01,1.059080362319946289e-01,-2.901582043084802859e-02
1.037211823463439941e+01,2.160949707031250000e+00,-9.607748389244079590e-01,1.059080362319946289e-01,-2.901582043084802859e-02
1.037970614433288574e+01,2.160902261734008789e+00,-9.612505435943603516e-01,1.067908182740211487e-01,-2.916281027826358660e-02
1.038882780075073242e+01,2.160902261734008789e+00,-9.612505435943603516e-01,1.067908182740211487e-01,-2.916281027826358660e-02
1.040033650398254395e+01,2.160902261734008789e+00,-9.612505435943603516e-01,1.067908182740211487e-01,-2.916281027826358660e-02
1.040913081169128418e+01,2.160902261734008789e+00,-9.612505435943603516e-01,1.067908182740211487e-01,-2.916281027826358660e-02
1.041906142234802246e+01,2.160902261734008789e+00,-9.612505435943603516e-01,1.067908182740211487e-01,-2.916281027826358660e-02
1.042841696739196777e+01,2.160902261734008789e+00,-9.612505435943603516e-01,1.067908182740211487e-01,-2.916281027826358660e-02
1.043949151039123535e+01,2.160902261734008789e+00,-9.612505435943603516e-01,1.067908182740211487e-01,-2.916281027826358660e-02
1.044827651977539062e+01,2.160902261734008789e+00,-9.612505435943603516e-01,1.067908182740211487e-01,-2.916281027826358660e-02
1.045948815345764160e+01,2.160902261734008789e+00,-9.612505435943603516e-01,1.067908182740211487e-01,-2.916281027826358660e-02
1.046917676925659180e+01,2.160717248916625977e+00,-9.612927436828613281e-01,1.060144156217575073e-01,-2.931721120365014116e-02
1.047821831703186035e+01,2.160717248916625977e+00,-9.612927436828613281e-01,1.060144156217575073e-01,-2.931721120365014116e-02
1.048886775970458984e+01,2.160717248916625977e+00,-9.612927436828613281e-01,1.060144156217575073e-01,-2.931721120365014116e-02
1.049847936630249023e+01,2.160717248916625977e+00,-9.612927436828613281e-01,1.060144156217575073e-01,-2.931721120365014116e-02
1.050826787948608398e+01,2.160717248916625977e+00,-9.612927436828613281e-01,1.060144156217575073e-01,-2.931721120365014116e-02
1.052004265785217285e+01,2.160717248916625977e+00,-9.612927436828613281e-01,1.060144156217575073e-01,-2.931721120365014116e-02
1.052809500694274902e+01,2.160717248916625977e+00,-9.612927436828613281e-01,1.060144156217575073e-01,-2.931721120365014116e-02
1.053866982460021973e+01,2.160717248916625977e+00,-9.612927436828613281e-01,1.060144156217575073e-01,-2.931721120365014116e-02
1.054868674278259277e+01,2.160717248916625977e+00,-9.612927436828613281e-01,1.060144156217575073e-01,-2.931721120365014116e-02
