Time_s,Priority_0,Priority_1,Priority_2,Priority_3,Priority_4,Priority_5,Priority_6
1774005114.9107566,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005114.9199936,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005114.931776,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005114.9411995,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005114.9525983,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005114.961442,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005114.9705124,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005114.980874,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005114.991685,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.0006974,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.0105464,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.0202327,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.0302417,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.0414736,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.0512917,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.060261,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.0701609,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.08022,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.0922625,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.1004677,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.1106844,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.1208816,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.1312628,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.1409814,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.1503592,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.1601431,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.1710238,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.181451,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.1918652,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.2019281,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.2181852,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.2222092,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.2341058,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.2407355,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.2505527,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.260653,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.2713006,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.2803583,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.2907825,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.3008738,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.313518,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.3202717,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.3312554,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.3413618,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.3509948,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.3604777,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.3706694,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.3807447,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.393876,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.4010534,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.412135,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.4226604,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.432416,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.4409826,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.4503314,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.4610047,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.4705193,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.481367,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.4904947,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.5012047,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.5111616,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.5201952,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.5307243,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.5405946,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.550328,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.560205,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.5732124,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.5811977,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.5911593,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.6008158,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.6106977,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.6200879,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.6313083,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.6410944,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.6510277,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.6612585,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.6732285,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.681074,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.6907623,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.7002547,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.7107148,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.7202263,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.7335718,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.7411525,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.751458,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.76072,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.7707283,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.7801702,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.7909093,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.8002534,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.8108783,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.8209267,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.8309283,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.840022,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.850621,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.8616168,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.8723881,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.88168,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.8913963,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.9012606,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.910365,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.9207442,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.9308538,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.9401937,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.9506657,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.9613407,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.9705505,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.980551,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005115.9923735,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.0006804,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.0117722,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.0219429,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.032039,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.040392,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.0510035,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.0603027,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.070478,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.0803423,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.0916588,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.1011457,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.1127384,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.1212754,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.1313512,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.141041,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.151273,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.1602879,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.1710918,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.1808708,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.190895,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774005116.200057,1.0,1.0,1.0,1.0,1.0,0.0,1.0
