5.034443,-1.978936,0.001367,0.158107
5.034443,-1.978936,0.001367,0.158107
5.034368,-1.979225,0.001273,0.158093
5.034368,-1.979225,0.001273,0.158093
5.034279,-1.979508,0.001154,0.158078
5.034193,-1.979781,0.001043,0.158066
5.034193,-1.979781,0.001043,0.158066
5.034122,-1.979908,0.000985,0.158066
5.033984,-1.980157,0.000872,0.158049
5.033917,-1.980279,0.000817,0.158045
5.033833,-1.980389,0.000746,0.158044
5.033749,-1.980497,0.000678,0.158043
5.033500,-1.980790,0.000530,0.158041
5.033416,-1.980872,0.000475,0.158048
5.033416,-1.980872,0.000475,0.158048
5.033334,-1.980952,0.000420,0.158049
5.033163,-1.981094,0.000299,0.158046
5.033073,-1.981155,0.000233,0.158050
5.032985,-1.981216,0.000154,0.158051
5.032898,-1.981275,0.000077,0.158051
5.032595,-1.981419,-0.000230,0.158043
5.032497,-1.981464,-0.000328,0.158043
5.032387,-1.981510,-0.000463,0.158040
5.032170,-1.981597,-0.000711,0.158035
5.032064,-1.981639,-0.000830,0.158037
5.031960,-1.981680,-0.000947,0.158041
5.031850,-1.981714,-0.001113,0.158039
5.031850,-1.981714,-0.001113,0.158039
5.031635,-1.981780,-0.001434,0.158051
5.031413,-1.981845,-0.001752,0.158053
5.031413,-1.981845,-0.001752,0.158053
5.031297,-1.981877,-0.001910,0.158057
5.031183,-1.981908,-0.002066,0.158061
5.030937,-1.981977,-0.002395,0.158047
5.030805,-1.982014,-0.002568,0.158046
5.030675,-1.982049,-0.002739,0.158042
5.030396,-1.982129,-0.003101,0.158033
5.030249,-1.982174,-0.003284,0.158035
5.030103,-1.982216,-0.003463,0.158031
5.029959,-1.982257,-0.003639,0.158034
5.029794,-1.982311,-0.003828,0.158036
5.029469,-1.982415,-0.004196,0.158037
5.029310,-1.982466,-0.004406,0.158037
5.029148,-1.982518,-0.004617,0.158033
5.028830,-1.982621,-0.005026,0.158037
5.028673,-1.982671,-0.005226,0.158037
5.028520,-1.982722,-0.005418,0.158038
5.028368,-1.982772,-0.005606,0.158041
5.028069,-1.982869,-0.005978,0.158030
5.027923,-1.982918,-0.006154,0.158026
5.027778,-1.982965,-0.006327,0.158024
5.027634,-1.983012,-0.006498,0.158023
5.027634,-1.983012,-0.006498,0.158023
5.027350,-1.983103,-0.006828,0.158022
5.027069,-1.983167,-0.007145,0.158020
5.027069,-1.983167,-0.007145,0.158020
5.026929,-1.983197,-0.007292,0.158018
5.026641,-1.983236,-0.007591,0.158013
5.026493,-1.983244,-0.007742,0.158015
5.026345,-1.983253,-0.007890,0.158026
5.026200,-1.983260,-0.008035,0.158029
5.026200,-1.983260,-0.008035,0.158029
5.025741,-1.983232,-0.008482,0.158045
5.025591,-1.983223,-0.008625,0.158043
5.025430,-1.983206,-0.008792,0.158040
5.025115,-1.983171,-0.009116,0.158035
5.024960,-1.983153,-0.009273,0.158036
5.024802,-1.983119,-0.009445,0.158040
5.024647,-1.983086,-0.009615,0.158040
5.024341,-1.983020,-0.009944,0.158043
5.024178,-1.982994,-0.010124,0.158046
5.024016,-1.982969,-0.010300,0.158045
5.023856,-1.982943,-0.010473,0.158040
5.023543,-1.982912,-0.010798,0.158037
5.023391,-1.982906,-0.010964,0.158042
5.023239,-1.982900,-0.011128,0.158048
5.023089,-1.982893,-0.011289,0.158054
5.022794,-1.982922,-0.011622,0.158042
5.022649,-1.982935,-0.011784,0.158033
5.022505,-1.982947,-0.011940,0.158033
5.022362,-1.982957,-0.012093,0.158032
5.022232,-1.982994,-0.012249,0.158026
5.021975,-1.983062,-0.012555,0.158029
5.021849,-1.983094,-0.012705,0.158024
