-0.246490,-0.193040,0.104300,19.898502

-0.246563,-0.192942,0.104307,19.898478

-0.246588,-0.192908,0.104312,19.898496

-0.246591,-0.192909,0.104304,19.898496

-0.246608,-0.192890,0.104297,19.898535

-0.246633,-0.192852,0.104307,19.898520

-0.246625,-0.192866,0.104300,19.898520

-0.246713,-0.192729,0.104346,19.898539

-0.246712,-0.192729,0.104348,19.898539

-0.246730,-0.192707,0.104346,19.898566

-0.246789,-0.192618,0.104373,19.898597

-0.246815,-0.192581,0.104379,19.898580

-0.246813,-0.192587,0.104373,19.898580

-0.246840,-0.192551,0.104374,19.898588

-0.246864,-0.192524,0.104368,19.898542

-0.246888,-0.192502,0.104353,19.898508

-0.246884,-0.192517,0.104334,19.898508

-0.246954,-0.192408,0.104370,19.898450

-0.246986,-0.192370,0.104363,19.898424

-0.247054,-0.192270,0.104385,19.898359

-0.247086,-0.192251,0.104346,19.898349

-0.247083,-0.192273,0.104311,19.898349

-0.247127,-0.192221,0.104304,19.898375

-0.247163,-0.192184,0.104286,19.898375

-0.247157,-0.192217,0.104242,19.898375

-0.247236,-0.192113,0.104245,19.898303

-0.247297,-0.192072,0.104177,19.898302

-0.247343,-0.192034,0.104135,19.898268

-0.247378,-0.192002,0.104113,19.898291

-0.247388,-0.191996,0.104098,19.898291

-0.247460,-0.191945,0.104023,19.898281

-0.247519,-0.191906,0.103954,19.898221

-0.247525,-0.191917,0.103918,19.898221

-0.247575,-0.191867,0.103892,19.898170

-0.247611,-0.191848,0.103842,19.898076

-0.247623,-0.191845,0.103819,19.898076

-0.247704,-0.191804,0.103703,19.897971

-0.247737,-0.191784,0.103658,19.897955

-0.247738,-0.191794,0.103637,19.897955

-0.247794,-0.191747,0.103591,19.897922

-0.247830,-0.191738,0.103523,19.897928

-0.247871,-0.191732,0.103435,19.897943

-0.247905,-0.191723,0.103371,19.897935

-0.247917,-0.191710,0.103364,19.897935

-0.247998,-0.191682,0.103224,19.897903

-0.248041,-0.191673,0.103136,19.897895

-0.248046,-0.191666,0.103137,19.897895

-0.248096,-0.191649,0.103050,19.897887

-0.248177,-0.191642,0.102868,19.897842

-0.248213,-0.191645,0.102773,19.897825

-0.248220,-0.191637,0.102771,19.897825

-0.248263,-0.191633,0.102675,19.897822

-0.248292,-0.191653,0.102569,19.897849

-0.248380,-0.191643,0.102373,19.897889

-0.248397,-0.191644,0.102330,19.897889

-0.248449,-0.191628,0.102234,19.897889

-0.248491,-0.191626,0.102134,19.897882

-0.248491,-0.191626,0.102134,19.897882

-0.248571,-0.191631,0.101932,19.897968

-0.248600,-0.191640,0.101843,19.897928

-0.248638,-0.191642,0.101747,19.897895

-0.248647,-0.191635,0.101738,19.897895

-0.248674,-0.191648,0.101648,19.897873

-0.248680,-0.191642,0.101644,19.897873

-0.248704,-0.191665,0.101543,19.897874

-0.248772,-0.191659,0.101387,19.897919

-0.248793,-0.191679,0.101299,19.897892

-0.248817,-0.191692,0.101213,19.897871

