experiment,mission_duration_s,objective_time_s,covered_area_percent,hidden_found_percent,crash_percent,crashed_uavs,total_uavs,hidden_found_uavs,hidden_total_uavs
exp 1,117.1298,62.145,97.18712492371287,60.0,0.0,0.0,5.0,3.0,5.0
exp 2,160.2392,71.06,97.52691638001927,60.0,0.0,0.0,5.0,3.0,5.0
exp 3,145.03640000000001,65.574,97.8221486852315,60.0,20.0,1.0,5.0,3.0,5.0
exp 4,115.91233333333334,72.79,97.59666331781787,60.0,0.0,0.0,5.0,3.0,5.0
exp 5,117.4884,63.706,98.568111501508,60.0,0.0,0.0,5.0,3.0,5.0
exp 6,145.702,49.949,97.37345987467866,40.0,0.0,0.0,5.0,2.0,5.0
MEAN,133.5846888888889,64.20400000000001,97.67907078049468,56.666666666666664,3.3333333333333335,,,,
VARIANCE,305.09998562172854,55.048923666666695,0.19603589894851617,55.555555555555564,55.55555555555555,,,,
STD,17.467111542030313,7.419496186848989,0.4427594142968799,7.4535599249993,7.453559924999299,,,,
