Time_s,Priority_0,Priority_1,Priority_2,Priority_3,Priority_4,Priority_5,Priority_6
1774036424.3456962,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.358795,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.3672035,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.375599,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.3854337,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.397916,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.4064002,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.415237,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.4242268,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.4333122,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.445359,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.455353,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.4634187,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.4756277,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.486064,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.495402,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.5054739,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.5170565,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.5238707,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.5337162,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.5438023,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.5533867,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.563526,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.5747433,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.5846992,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.5945323,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.6036344,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.6149077,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.6246781,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.6343033,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.644667,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.6548,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.6644924,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.6782432,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.684028,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.6944044,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.7099824,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.715785,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.7257524,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.7364895,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.7446246,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.7570145,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.7671325,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.774147,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.78534,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.7944508,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.8040297,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.814871,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.8262103,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.8351321,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.847239,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.8576562,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.8666227,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.876572,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.8849647,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.8953195,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.9038353,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.9139645,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.9267938,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.9339218,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.9446607,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.9540713,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.966638,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.9742968,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.9843097,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036424.9996464,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036425.004157,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036425.0144358,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036425.028459,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036425.043705,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036425.047203,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036425.0545638,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036425.0656958,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036425.0755913,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036425.0840101,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036425.0978477,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036425.1127586,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1774036425.1151354,1.0,1.0,1.0,1.0,1.0,0.0,1.0
