t,m1,m2,m3,m4,vbat
1.286083507537841797e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.038123130798339844e+00
1.287142729759216309e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.038123130798339844e+00
1.288345432281494141e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.038123130798339844e+00
1.289060521125793457e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.038123130798339844e+00
1.290039396286010742e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.038123130798339844e+00
1.291089200973510742e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.038123130798339844e+00
1.292244505882263184e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.038123130798339844e+00
1.292889714241027832e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.038123130798339844e+00
1.293711519241333008e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.038123130798339844e+00
1.295106267929077148e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.043401718139648438e+00
1.296131396293640137e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.038123130798339844e+00
1.296868205070495605e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.038123130798339844e+00
1.297841191291809082e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.038123130798339844e+00
1.299171972274780273e+01,3.777100000000000000e+04,3.695000000000000000e+04,4.048900000000000000e+04,4.101100000000000000e+04,3.462756633758544922e+00
1.299779295921325684e+01,3.777100000000000000e+04,3.695000000000000000e+04,4.048900000000000000e+04,4.101100000000000000e+04,3.462756633758544922e+00
1.301000714302062988e+01,3.859000000000000000e+04,3.710600000000000000e+04,4.181500000000000000e+04,4.232200000000000000e+04,3.473313808441162109e+00
1.301761651039123535e+01,3.859000000000000000e+04,3.710600000000000000e+04,4.181500000000000000e+04,4.232200000000000000e+04,3.473313808441162109e+00
1.302802157402038574e+01,3.742100000000000000e+04,3.730900000000000000e+04,4.407400000000000000e+04,4.345100000000000000e+04,3.499706745147705078e+00
1.303754830360412598e+01,3.742100000000000000e+04,3.730900000000000000e+04,4.407400000000000000e+04,4.345100000000000000e+04,3.499706745147705078e+00
1.305239033699035645e+01,3.843900000000000000e+04,3.857700000000000000e+04,4.406100000000000000e+04,4.382100000000000000e+04,3.547214031219482422e+00
1.305901789665222168e+01,3.843900000000000000e+04,3.857700000000000000e+04,4.406100000000000000e+04,4.382100000000000000e+04,3.547214031219482422e+00
1.306963324546813965e+01,3.843900000000000000e+04,3.857700000000000000e+04,4.406100000000000000e+04,4.382100000000000000e+04,3.547214031219482422e+00
1.308868384361267090e+01,3.710300000000000000e+04,4.098600000000000000e+04,4.593700000000000000e+04,4.262700000000000000e+04,3.584164381027221680e+00
1.309321975708007812e+01,3.710300000000000000e+04,4.098600000000000000e+04,4.593700000000000000e+04,4.262700000000000000e+04,3.584164381027221680e+00
1.309837627410888672e+01,3.710300000000000000e+04,4.098600000000000000e+04,4.593700000000000000e+04,4.262700000000000000e+04,3.584164381027221680e+00
1.312789702415466309e+01,3.522800000000000000e+04,4.177800000000000000e+04,4.745800000000000000e+04,4.225400000000000000e+04,3.600000143051147461e+00
1.313571262359619141e+01,3.522800000000000000e+04,4.177800000000000000e+04,4.745800000000000000e+04,4.225400000000000000e+04,3.600000143051147461e+00
1.314418935775756836e+01,3.703600000000000000e+04,4.396900000000000000e+04,4.458500000000000000e+04,4.252000000000000000e+04,3.621114492416381836e+00
1.315164303779602051e+01,3.703600000000000000e+04,4.396900000000000000e+04,4.458500000000000000e+04,4.252000000000000000e+04,3.621114492416381836e+00
1.315851426124572754e+01,3.703600000000000000e+04,4.396900000000000000e+04,4.458500000000000000e+04,4.252000000000000000e+04,3.621114492416381836e+00
1.317480230331420898e+01,3.703600000000000000e+04,4.396900000000000000e+04,4.458500000000000000e+04,4.252000000000000000e+04,3.621114492416381836e+00
1.318130064010620117e+01,3.703600000000000000e+04,4.396900000000000000e+04,4.458500000000000000e+04,4.252000000000000000e+04,3.621114492416381836e+00
1.318882966041564941e+01,3.703600000000000000e+04,4.396900000000000000e+04,4.458500000000000000e+04,4.252000000000000000e+04,3.621114492416381836e+00
1.320131516456604004e+01,3.703600000000000000e+04,4.396900000000000000e+04,4.458500000000000000e+04,4.252000000000000000e+04,3.621114492416381836e+00
1.321320033073425293e+01,3.703600000000000000e+04,4.396900000000000000e+04,4.458500000000000000e+04,4.252000000000000000e+04,3.621114492416381836e+00
1.321940255165100098e+01,3.703600000000000000e+04,4.396900000000000000e+04,4.458500000000000000e+04,4.252000000000000000e+04,3.621114492416381836e+00
1.322829604148864746e+01,3.703600000000000000e+04,4.396900000000000000e+04,4.458500000000000000e+04,4.252000000000000000e+04,3.621114492416381836e+00
1.323826146125793457e+01,3.703600000000000000e+04,4.396900000000000000e+04,4.458500000000000000e+04,4.252000000000000000e+04,3.621114492416381836e+00
1.324850463867187500e+01,3.703600000000000000e+04,4.396900000000000000e+04,4.458500000000000000e+04,4.252000000000000000e+04,3.621114492416381836e+00
1.325821828842163086e+01,3.703600000000000000e+04,4.396900000000000000e+04,4.458500000000000000e+04,4.252000000000000000e+04,3.621114492416381836e+00
1.326764965057373047e+01,3.703600000000000000e+04,4.396900000000000000e+04,4.458500000000000000e+04,4.252000000000000000e+04,3.621114492416381836e+00
1.327939581871032715e+01,3.703600000000000000e+04,4.396900000000000000e+04,4.458500000000000000e+04,4.252000000000000000e+04,3.621114492416381836e+00
1.329194903373718262e+01,3.703600000000000000e+04,4.396900000000000000e+04,4.458500000000000000e+04,4.252000000000000000e+04,3.621114492416381836e+00
1.330152440071105957e+01,3.703600000000000000e+04,4.396900000000000000e+04,4.458500000000000000e+04,4.252000000000000000e+04,3.621114492416381836e+00
1.330879044532775879e+01,3.696600000000000000e+04,5.111000000000000000e+04,4.390200000000000000e+04,3.572600000000000000e+04,3.636950254440307617e+00
1.331752848625183105e+01,3.696600000000000000e+04,5.111000000000000000e+04,4.390200000000000000e+04,3.572600000000000000e+04,3.636950254440307617e+00
1.333198189735412598e+01,4.521800000000000000e+04,4.754800000000000000e+04,3.391500000000000000e+04,4.074600000000000000e+04,3.658064603805541992e+00
1.333879280090332031e+01,4.521800000000000000e+04,4.754800000000000000e+04,3.391500000000000000e+04,4.074600000000000000e+04,3.658064603805541992e+00
1.335246062278747559e+01,4.468100000000000000e+04,5.021000000000000000e+04,3.596400000000000000e+04,3.369400000000000000e+04,3.673900365829467773e+00
1.337075257301330566e+01,4.081400000000000000e+04,4.253800000000000000e+04,3.895500000000000000e+04,4.289200000000000000e+04,3.689736127853393555e+00
1.337356591224670410e+01,3.832400000000000000e+04,4.042200000000000000e+04,4.067500000000000000e+04,4.430100000000000000e+04,3.689736127853393555e+00
1.338140654563903809e+01,3.756700000000000000e+04,4.414900000000000000e+04,3.805700000000000000e+04,3.927100000000000000e+04,3.695014715194702148e+00
1.338923025131225586e+01,3.923300000000000000e+04,4.426600000000000000e+04,3.469900000000000000e+04,3.737500000000000000e+04,3.705571889877319336e+00
1.339856076240539551e+01,3.923300000000000000e+04,4.426600000000000000e+04,3.469900000000000000e+04,3.737500000000000000e+04,3.705571889877319336e+00
1.341381072998046875e+01,3.857300000000000000e+04,4.287100000000000000e+04,3.406700000000000000e+04,3.873100000000000000e+04,3.716129064559936523e+00
1.342202997207641602e+01,3.857300000000000000e+04,4.287100000000000000e+04,3.406700000000000000e+04,3.873100000000000000e+04,3.716129064559936523e+00
