4.969065,-1.946584,0.000342,0.156155
4.969160,-1.946378,0.000402,0.156155
4.969160,-1.946378,0.000402,0.156155
4.969252,-1.946174,0.000460,0.156155
4.969343,-1.945972,0.000501,0.156150
4.969510,-1.945550,0.000577,0.156154
4.969592,-1.945342,0.000612,0.156150
4.969672,-1.945137,0.000646,0.156142
4.969743,-1.944921,0.000681,0.156137
4.969743,-1.944921,0.000681,0.156137
4.969881,-1.944493,0.000759,0.156131
4.969948,-1.944282,0.000801,0.156135
4.969948,-1.944282,0.000801,0.156135
4.970002,-1.944058,0.000834,0.156138
4.970054,-1.943836,0.000865,0.156134
4.970158,-1.943400,0.000921,0.156144
4.970200,-1.943162,0.000936,0.156138
4.970241,-1.942927,0.000950,0.156134
4.970241,-1.942927,0.000950,0.156134
4.970282,-1.942694,0.000969,0.156129
4.970360,-1.942231,0.001002,0.156121
4.970398,-1.942001,0.001016,0.156110
4.970435,-1.941774,0.001029,0.156104
4.970435,-1.941774,0.001029,0.156104
4.970473,-1.941548,0.001041,0.156101
4.970562,-1.941085,0.001058,0.156098
4.970605,-1.940855,0.001062,0.156099
4.970648,-1.940626,0.001065,0.156098
4.970648,-1.940626,0.001065,0.156098
4.970682,-1.940397,0.001057,0.156099
4.970750,-1.939944,0.001042,0.156103
4.970784,-1.939720,0.001033,0.156102
4.970784,-1.939720,0.001033,0.156102
4.970816,-1.939485,0.000993,0.156109
4.970848,-1.939252,0.000971,0.156109
4.970912,-1.938791,0.000927,0.156102
4.970943,-1.938562,0.000904,0.156094
4.970986,-1.938328,0.000862,0.156090
4.971030,-1.938095,0.000820,0.156097
4.971117,-1.937632,0.000739,0.156098
4.971164,-1.937393,0.000689,0.156087
4.971164,-1.937393,0.000689,0.156087
4.971211,-1.937154,0.000640,0.156084
4.971259,-1.936916,0.000592,0.156086
4.971305,-1.936679,0.000545,0.156088
4.971447,-1.936205,0.000429,0.156074
4.971518,-1.935969,0.000372,0.156074
4.971588,-1.935734,0.000307,0.156071
4.971755,-1.935271,0.000133,0.156061
4.971837,-1.935040,0.000048,0.156052
4.971837,-1.935040,0.000048,0.156052
4.971919,-1.934810,-0.000036,0.156057
4.972008,-1.934582,-0.000137,0.156056
4.972186,-1.934129,-0.000358,0.156043
4.972273,-1.933903,-0.000479,0.156036
4.972273,-1.933903,-0.000479,0.156036
4.972373,-1.933675,-0.000621,0.156026
4.972472,-1.933449,-0.000762,0.156015
4.972670,-1.932999,-0.001036,0.155993
4.972783,-1.932771,-0.001187,0.155987
4.972895,-1.932543,-0.001336,0.155989
4.972895,-1.932543,-0.001336,0.155989
4.973006,-1.932316,-0.001484,0.155988
4.973224,-1.931867,-0.001782,0.155991
4.973330,-1.931645,-0.001932,0.155990
4.973436,-1.931423,-0.002080,0.155987
4.973436,-1.931423,-0.002080,0.155987
4.973541,-1.931202,-0.002225,0.155982
4.973541,-1.931202,-0.002225,0.155982
4.973763,-1.930762,-0.002514,0.155979
4.973879,-1.930543,-0.002658,0.155983
4.973996,-1.930325,-0.002800,0.155987
4.974111,-1.930106,-0.002940,0.155984
4.974327,-1.929680,-0.003216,0.155972
4.974434,-1.929468,-0.003351,0.155973
4.974542,-1.929256,-0.003484,0.155968
4.974542,-1.929256,-0.003484,0.155968
4.974633,-1.929053,-0.003613,0.155964
4.974814,-1.928647,-0.003865,0.155964
4.974905,-1.928445,-0.003988,0.155964
4.974905,-1.928445,-0.003988,0.155964
4.974980,-1.928262,-0.004109,0.155964
4.975055,-1.928079,-0.004228,0.155968
4.975205,-1.927713,-0.004455,0.155987
4.975256,-1.927535,-0.004563,0.155989
4.975308,-1.927357,-0.004669,0.155988
4.975361,-1.927179,-0.004774,0.155991
4.975361,-1.927179,-0.004774,0.155991
4.975440,-1.926834,-0.004983,0.155998
4.975464,-1.926667,-0.005087,0.156005
4.975464,-1.926667,-0.005087,0.156005
4.975489,-1.926500,-0.005190,0.156000
4.975514,-1.926333,-0.005287,0.155998
4.975511,-1.926012,-0.005480,0.155998
4.975511,-1.925851,-0.005575,0.155993
4.975512,-1.925691,-0.005668,0.155992
4.975486,-1.925545,-0.005759,0.155999
4.975486,-1.925545,-0.005759,0.155999
4.975440,-1.925254,-0.005934,0.156003
4.975418,-1.925109,-0.006020,0.156002
4.975398,-1.924964,-0.006104,0.156007
4.975398,-1.924964,-0.006104,0.156007
4.975353,-1.924826,-0.006187,0.156012
4.975268,-1.924553,-0.006351,0.156030
4.975227,-1.924416,-0.006432,0.156039
4.975183,-1.924288,-0.006526,0.156037
4.975140,-1.924160,-0.006607,0.156045
4.975056,-1.923903,-0.006768,0.156050
4.975011,-1.923793,-0.006867,0.156049
4.975011,-1.923793,-0.006867,0.156049
4.974967,-1.923683,-0.006964,0.156056
4.974923,-1.923571,-0.007060,0.156057
4.974839,-1.923378,-0.007269,0.156055
4.974798,-1.923296,-0.007382,0.156058
4.974759,-1.923213,-0.007494,0.156062
4.974720,-1.923128,-0.007604,0.156068
4.974622,-1.923028,-0.007819,0.156078
4.974622,-1.923028,-0.007819,0.156078
4.974573,-1.922976,-0.007924,0.156079
