experiment,mission_duration_s,objective_time_s,covered_area_percent,hidden_found_percent,crash_percent,crashed_uavs,total_uavs,hidden_found_uavs,hidden_total_uavs
exp 1,,,95.156654868859,66.66666666666666,33.33333333333333,1.0,3.0,2.0,3.0
exp 2,,,63.72128412545113,100.0,0.0,0.0,3.0,3.0,3.0
exp 3,,80.934,100.0,100.0,66.66666666666666,2.0,3.0,3.0,3.0
exp 4,,,71.45402198489622,66.66666666666666,0.0,0.0,3.0,2.0,3.0
exp 5,,,71.43844626231214,66.66666666666666,0.0,0.0,3.0,2.0,3.0
exp 6,,,57.18040275282834,66.66666666666666,0.0,0.0,3.0,2.0,3.0
MEAN,,80.934,76.49180166572447,77.77777777777776,16.666666666666664,,,,
VARIANCE,,0.0,247.9906675305655,246.91358024691374,648.148148148148,,,,
STD,,0.0,15.74771943903515,15.713484026367729,25.458753860865777,,,,
