time,cf_0_status,cf_0_model,cf_1_status,cf_1_model,cf_2_status,cf_2_model
1774003102.1490898,,,4.096187591552734,,,
1774003102.160927,,,4.096187591552734,,4.106744766235352,
1774003102.1614969,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.1669028,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.1818695,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.1824918,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.1872978,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.1974065,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.2004182,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.2080004,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.2205417,4.138416290283203,,4.096187591552734,,4.106744766235352,
1774003102.2211392,4.138416290283203,,4.096187591552734,,4.106744766235352,
1774003102.228979,4.138416290283203,,4.096187591552734,,4.106744766235352,
1774003102.238409,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.2410958,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.2472427,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.2585921,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.2605581,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.2675953,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.2797732,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.2802927,4.138416290283203,,4.096187591552734,,4.106744766235352,
1774003102.2878919,4.138416290283203,,4.090909004211426,,4.106744766235352,
1774003102.297739,4.138416290283203,,4.090909004211426,,4.106744766235352,
1774003102.3000317,4.138416290283203,,4.090909004211426,,4.106744766235352,
1774003102.3090522,4.138416290283203,,4.096187591552734,,4.106744766235352,
1774003102.322397,4.138416290283203,,4.096187591552734,,4.106744766235352,
1774003102.3233807,4.138416290283203,,4.096187591552734,,4.106744766235352,
1774003102.3319993,4.138416290283203,,4.096187591552734,,4.106744766235352,
1774003102.3391829,4.138416290283203,,4.096187591552734,,4.106744766235352,
1774003102.3410761,4.138416290283203,,4.096187591552734,,4.106744766235352,
1774003102.350168,4.138416290283203,,4.096187591552734,,4.106744766235352,
1774003102.357779,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.3629894,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.3684473,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.3798132,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.3835268,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.3897645,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.39922,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.4040082,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.4085217,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.420416,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.4239666,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.4291894,4.143694877624512,,4.101466178894043,,4.106744766235352,
1774003102.4413683,4.143694877624512,,4.101466178894043,,4.106744766235352,
1774003102.442737,4.143694877624512,,4.101466178894043,,4.106744766235352,
1774003102.4517622,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.4601517,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.4620132,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.4856308,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.506468,4.143694877624512,,4.096187591552734,,4.106744766235352,
1774003102.51024,4.143694877624512,,4.101466178894043,,4.106744766235352,
1774003102.5115843,4.143694877624512,,4.101466178894043,,4.106744766235352,
1774003102.5401046,4.143694877624512,,4.101466178894043,,4.106744766235352,
1774003102.550402,4.143694877624512,,4.101466178894043,,4.106744766235352,
1774003102.55235,4.143694877624512,,4.101466178894043,,4.106744766235352,
1774003102.5577142,4.143694877624512,,4.101466178894043,,4.106744766235352,
