t,x,y,z,yaw
6.465596914291381836e+00,2.143347978591918945e+00,-1.024646878242492676e+00,7.138492912054061890e-02,2.519686927391772031e-03
6.476863384246826172e+00,2.143347978591918945e+00,-1.024646878242492676e+00,7.138492912054061890e-02,2.519686927391772031e-03
6.489970684051513672e+00,2.143347978591918945e+00,-1.024646878242492676e+00,7.138492912054061890e-02,2.519686927391772031e-03
6.502225160598754883e+00,2.143347978591918945e+00,-1.024646878242492676e+00,7.138492912054061890e-02,2.519686927391772031e-03
6.508567810058593750e+00,2.143347978591918945e+00,-1.024646878242492676e+00,7.138492912054061890e-02,2.519686927391772031e-03
6.516780853271484375e+00,2.143347978591918945e+00,-1.024646878242492676e+00,7.138492912054061890e-02,2.519686927391772031e-03
6.527819871902465820e+00,2.143108367919921875e+00,-1.024470686912536621e+00,7.098792493343353271e-02,2.518264060758586189e-03
6.537106275558471680e+00,2.143108367919921875e+00,-1.024470686912536621e+00,7.098792493343353271e-02,2.518264060758586189e-03
6.549108743667602539e+00,2.143108367919921875e+00,-1.024470686912536621e+00,7.098792493343353271e-02,2.518264060758586189e-03
6.556039810180664062e+00,2.143108367919921875e+00,-1.024470686912536621e+00,7.098792493343353271e-02,2.518264060758586189e-03
6.565324544906616211e+00,2.143108367919921875e+00,-1.024470686912536621e+00,7.098792493343353271e-02,2.518264060758586189e-03
6.577545166015625000e+00,2.143108367919921875e+00,-1.024470686912536621e+00,7.098792493343353271e-02,2.518264060758586189e-03
6.586276054382324219e+00,2.143108367919921875e+00,-1.024470686912536621e+00,7.098792493343353271e-02,2.518264060758586189e-03
6.595181226730346680e+00,2.143108367919921875e+00,-1.024470686912536621e+00,7.098792493343353271e-02,2.518264060758586189e-03
6.605972766876220703e+00,2.145875215530395508e+00,-1.030978679656982422e+00,6.933829933404922485e-02,2.799220013606515053e-03
6.617979049682617188e+00,2.145875215530395508e+00,-1.030978679656982422e+00,6.933829933404922485e-02,2.799220013606515053e-03
6.627109050750732422e+00,2.145875215530395508e+00,-1.030978679656982422e+00,6.933829933404922485e-02,2.799220013606515053e-03
6.638980150222778320e+00,2.145875215530395508e+00,-1.030978679656982422e+00,6.933829933404922485e-02,2.799220013606515053e-03
6.645695447921752930e+00,2.145875215530395508e+00,-1.030978679656982422e+00,6.933829933404922485e-02,2.799220013606515053e-03
6.655956029891967773e+00,2.145875215530395508e+00,-1.030978679656982422e+00,6.933829933404922485e-02,2.799220013606515053e-03
6.665862083435058594e+00,2.145875215530395508e+00,-1.030978679656982422e+00,6.933829933404922485e-02,2.799220013606515053e-03
6.677794933319091797e+00,2.145875215530395508e+00,-1.030978679656982422e+00,6.933829933404922485e-02,2.799220013606515053e-03
6.687959909439086914e+00,2.145875215530395508e+00,-1.030978679656982422e+00,6.933829933404922485e-02,2.799220013606515053e-03
6.696400642395019531e+00,2.145875215530395508e+00,-1.030978679656982422e+00,6.933829933404922485e-02,2.799220013606515053e-03
6.706086397171020508e+00,2.141928195953369141e+00,-1.028547048568725586e+00,6.923893839120864868e-02,-8.419902214787435961e-06
6.716608524322509766e+00,2.141928195953369141e+00,-1.028547048568725586e+00,6.923893839120864868e-02,-8.419902214787435961e-06
6.725961208343505859e+00,2.141928195953369141e+00,-1.028547048568725586e+00,6.923893839120864868e-02,-8.419902214787435961e-06
6.737967491149902344e+00,2.141928195953369141e+00,-1.028547048568725586e+00,6.923893839120864868e-02,-8.419902214787435961e-06
6.745468378067016602e+00,2.141928195953369141e+00,-1.028547048568725586e+00,6.923893839120864868e-02,-8.419902214787435961e-06
6.757076978683471680e+00,2.141928195953369141e+00,-1.028547048568725586e+00,6.923893839120864868e-02,-8.419902214787435961e-06
6.766880035400390625e+00,2.141928195953369141e+00,-1.028547048568725586e+00,6.923893839120864868e-02,-8.419902214787435961e-06
6.777483224868774414e+00,2.141928195953369141e+00,-1.028547048568725586e+00,6.923893839120864868e-02,-8.419902214787435961e-06
6.787161350250244141e+00,2.141928195953369141e+00,-1.028547048568725586e+00,6.923893839120864868e-02,-8.419902214787435961e-06
6.796165227890014648e+00,2.141928195953369141e+00,-1.028547048568725586e+00,6.923893839120864868e-02,-8.419902214787435961e-06
6.809412717819213867e+00,2.141928195953369141e+00,-1.028547048568725586e+00,6.923893839120864868e-02,-8.419902214787435961e-06
6.819691658020019531e+00,2.152832508087158203e+00,-1.036470413208007812e+00,6.794481724500656128e-02,1.089949026504287606e-02
6.826535701751708984e+00,2.152832508087158203e+00,-1.036470413208007812e+00,6.794481724500656128e-02,1.089949026504287606e-02
6.837306022644042969e+00,2.152832508087158203e+00,-1.036470413208007812e+00,6.794481724500656128e-02,1.089949026504287606e-02
6.845709085464477539e+00,2.152832508087158203e+00,-1.036470413208007812e+00,6.794481724500656128e-02,1.089949026504287606e-02
6.855855941772460938e+00,2.152832508087158203e+00,-1.036470413208007812e+00,6.794481724500656128e-02,1.089949026504287606e-02
6.866842508316040039e+00,2.152832508087158203e+00,-1.036470413208007812e+00,6.794481724500656128e-02,1.089949026504287606e-02
6.876947164535522461e+00,2.152832508087158203e+00,-1.036470413208007812e+00,6.794481724500656128e-02,1.089949026504287606e-02
6.886859893798828125e+00,2.152832508087158203e+00,-1.036470413208007812e+00,6.794481724500656128e-02,1.089949026504287606e-02
6.896050214767456055e+00,2.152832508087158203e+00,-1.036470413208007812e+00,6.794481724500656128e-02,1.089949026504287606e-02
6.908163547515869141e+00,2.152832508087158203e+00,-1.036470413208007812e+00,6.794481724500656128e-02,1.089949026504287606e-02
6.916987657546997070e+00,2.153098106384277344e+00,-9.879209995269775391e-01,1.149074584245681763e-01,5.437492927031392642e-02
6.925920248031616211e+00,2.153098106384277344e+00,-9.879209995269775391e-01,1.149074584245681763e-01,5.437492927031392642e-02
6.939522266387939453e+00,2.153098106384277344e+00,-9.879209995269775391e-01,1.149074584245681763e-01,5.437492927031392642e-02
6.945984601974487305e+00,2.153098106384277344e+00,-9.879209995269775391e-01,1.149074584245681763e-01,5.437492927031392642e-02
6.955934524536132812e+00,2.153098106384277344e+00,-9.879209995269775391e-01,1.149074584245681763e-01,5.437492927031392642e-02
6.966111898422241211e+00,2.153098106384277344e+00,-9.879209995269775391e-01,1.149074584245681763e-01,5.437492927031392642e-02
6.977630615234375000e+00,2.153098106384277344e+00,-9.879209995269775391e-01,1.149074584245681763e-01,5.437492927031392642e-02
6.986900806427001953e+00,2.153098106384277344e+00,-9.879209995269775391e-01,1.149074584245681763e-01,5.437492927031392642e-02
6.996904850006103516e+00,2.153098106384277344e+00,-9.879209995269775391e-01,1.149074584245681763e-01,5.437492927031392642e-02
7.006504774093627930e+00,2.146730661392211914e+00,-9.955112338066101074e-01,1.199860200285911560e-01,9.946696947510109965e-02
7.016411542892456055e+00,2.146730661392211914e+00,-9.955112338066101074e-01,1.199860200285911560e-01,9.946696947510109965e-02
7.026347637176513672e+00,2.146730661392211914e+00,-9.955112338066101074e-01,1.199860200285911560e-01,9.946696947510109965e-02
7.039304494857788086e+00,2.146730661392211914e+00,-9.955112338066101074e-01,1.199860200285911560e-01,9.946696947510109965e-02
7.045872688293457031e+00,2.146730661392211914e+00,-9.955112338066101074e-01,1.199860200285911560e-01,9.946696947510109965e-02
7.056917667388916016e+00,2.146730661392211914e+00,-9.955112338066101074e-01,1.199860200285911560e-01,9.946696947510109965e-02
7.065751552581787109e+00,2.146730661392211914e+00,-9.955112338066101074e-01,1.199860200285911560e-01,9.946696947510109965e-02
7.075163841247558594e+00,2.146730661392211914e+00,-9.955112338066101074e-01,1.199860200285911560e-01,9.946696947510109965e-02
7.087187051773071289e+00,2.146730661392211914e+00,-9.955112338066101074e-01,1.199860200285911560e-01,9.946696947510109965e-02
7.096749782562255859e+00,2.146730661392211914e+00,-9.955112338066101074e-01,1.199860200285911560e-01,9.946696947510109965e-02
7.105628013610839844e+00,2.138852119445800781e+00,-1.007603764533996582e+00,1.268604397773742676e-01,1.379096415537461318e-01
7.116359949111938477e+00,2.138852119445800781e+00,-1.007603764533996582e+00,1.268604397773742676e-01,1.379096415537461318e-01
7.126630067825317383e+00,2.138852119445800781e+00,-1.007603764533996582e+00,1.268604397773742676e-01,1.379096415537461318e-01
7.138623952865600586e+00,2.138852119445800781e+00,-1.007603764533996582e+00,1.268604397773742676e-01,1.379096415537461318e-01
7.145620107650756836e+00,2.138852119445800781e+00,-1.007603764533996582e+00,1.268604397773742676e-01,1.379096415537461318e-01
7.158310413360595703e+00,2.138852119445800781e+00,-1.007603764533996582e+00,1.268604397773742676e-01,1.379096415537461318e-01
