t,m1,m2,m3,m4,vbat
6.525286674499511719e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.143694877624511719e+00
6.540989398956298828e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.143694877624511719e+00
6.545984268188476562e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.143694877624511719e+00
6.558349609375000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.143694877624511719e+00
6.566152095794677734e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.143694877624511719e+00
6.575780153274536133e+00,3.757400000000000000e+04,3.817700000000000000e+04,3.799100000000000000e+04,3.758000000000000000e+04,3.774193525314331055e+00
6.585306882858276367e+00,3.757400000000000000e+04,3.817700000000000000e+04,3.799100000000000000e+04,3.758000000000000000e+04,3.774193525314331055e+00
6.593473196029663086e+00,3.836100000000000000e+04,3.912700000000000000e+04,3.890200000000000000e+04,3.848200000000000000e+04,3.373020648956298828e+00
6.604065656661987305e+00,3.836100000000000000e+04,3.912700000000000000e+04,3.890200000000000000e+04,3.848200000000000000e+04,3.373020648956298828e+00
6.615841388702392578e+00,4.115800000000000000e+04,4.084700000000000000e+04,3.841400000000000000e+04,3.875000000000000000e+04,3.420527935028076172e+00
6.624660253524780273e+00,4.115800000000000000e+04,4.084700000000000000e+04,3.841400000000000000e+04,3.875000000000000000e+04,3.420527935028076172e+00
6.634610176086425781e+00,4.115800000000000000e+04,4.084700000000000000e+04,3.841400000000000000e+04,3.875000000000000000e+04,3.420527935028076172e+00
6.644007921218872070e+00,4.109100000000000000e+04,4.132700000000000000e+04,4.023400000000000000e+04,4.025900000000000000e+04,3.446920871734619141e+00
6.654025077819824219e+00,4.115600000000000000e+04,4.096200000000000000e+04,4.193900000000000000e+04,4.197200000000000000e+04,3.457478046417236328e+00
6.663194179534912109e+00,4.115600000000000000e+04,4.096200000000000000e+04,4.193900000000000000e+04,4.197200000000000000e+04,3.457478046417236328e+00
6.674462080001831055e+00,4.115600000000000000e+04,4.096200000000000000e+04,4.193900000000000000e+04,4.197200000000000000e+04,3.457478046417236328e+00
6.685648679733276367e+00,4.159900000000000000e+04,4.325800000000000000e+04,4.241400000000000000e+04,4.089700000000000000e+04,3.483870983123779297e+00
6.694265842437744141e+00,4.159900000000000000e+04,4.325800000000000000e+04,4.241400000000000000e+04,4.089700000000000000e+04,3.483870983123779297e+00
6.704038619995117188e+00,4.197800000000000000e+04,4.152200000000000000e+04,4.313400000000000000e+04,4.332300000000000000e+04,3.483870983123779297e+00
