t,m1,m2,m3,m4,vbat
5.639351129531860352e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.006451606750488281e+00
5.649858474731445312e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.006451606750488281e+00
5.657771348953247070e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.006451606750488281e+00
5.670542001724243164e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.006451606750488281e+00
5.679460763931274414e+00,3.853200000000000000e+04,3.788100000000000000e+04,3.773500000000000000e+04,3.843600000000000000e+04,4.006451606750488281e+00
5.686484098434448242e+00,3.853200000000000000e+04,3.788100000000000000e+04,3.773500000000000000e+04,3.843600000000000000e+04,4.006451606750488281e+00
5.698994159698486328e+00,4.006500000000000000e+04,3.874400000000000000e+04,3.833000000000000000e+04,3.956600000000000000e+04,3.900879859924316406e+00
5.706513166427612305e+00,4.006500000000000000e+04,3.874400000000000000e+04,3.833000000000000000e+04,3.956600000000000000e+04,3.900879859924316406e+00
5.714407444000244141e+00,4.543400000000000000e+04,4.200200000000000000e+04,4.115400000000000000e+04,4.443900000000000000e+04,3.531378269195556641e+00
5.724289894104003906e+00,4.724300000000000000e+04,3.978400000000000000e+04,4.063800000000000000e+04,4.949000000000000000e+04,3.425806522369384766e+00
5.734218358993530273e+00,4.724300000000000000e+04,3.978400000000000000e+04,4.063800000000000000e+04,4.949000000000000000e+04,3.425806522369384766e+00
5.744248390197753906e+00,4.381300000000000000e+04,3.759400000000000000e+04,4.197900000000000000e+04,5.041600000000000000e+04,3.473313808441162109e+00
5.758371591567993164e+00,4.381300000000000000e+04,3.759400000000000000e+04,4.197900000000000000e+04,5.041600000000000000e+04,3.473313808441162109e+00
5.765273332595825195e+00,4.217100000000000000e+04,4.015300000000000000e+04,4.266600000000000000e+04,4.767000000000000000e+04,3.510263919830322266e+00
5.777934789657592773e+00,4.217100000000000000e+04,4.015300000000000000e+04,4.266600000000000000e+04,4.767000000000000000e+04,3.510263919830322266e+00
5.789252519607543945e+00,4.197900000000000000e+04,4.120900000000000000e+04,4.176900000000000000e+04,4.520000000000000000e+04,3.573607206344604492e+00
5.795339822769165039e+00,4.197900000000000000e+04,4.120900000000000000e+04,4.176900000000000000e+04,4.520000000000000000e+04,3.573607206344604492e+00
5.806483030319213867e+00,4.050400000000000000e+04,4.398900000000000000e+04,4.182500000000000000e+04,4.126300000000000000e+04,3.621114492416381836e+00
5.816818952560424805e+00,4.050400000000000000e+04,4.398900000000000000e+04,4.182500000000000000e+04,4.126300000000000000e+04,3.621114492416381836e+00
5.824747562408447266e+00,3.941100000000000000e+04,4.318600000000000000e+04,4.214600000000000000e+04,4.181800000000000000e+04,3.636950254440307617e+00
5.837822437286376953e+00,3.941100000000000000e+04,4.318600000000000000e+04,4.214600000000000000e+04,4.181800000000000000e+04,3.636950254440307617e+00
5.847093582153320312e+00,4.173900000000000000e+04,4.384100000000000000e+04,3.877900000000000000e+04,4.011700000000000000e+04,3.663343191146850586e+00
5.858638286590576172e+00,4.173900000000000000e+04,4.384100000000000000e+04,3.877900000000000000e+04,4.011700000000000000e+04,3.663343191146850586e+00
5.864426851272583008e+00,4.132400000000000000e+04,4.450800000000000000e+04,3.811000000000000000e+04,3.835400000000000000e+04,3.679178953170776367e+00
